"DATA_YEAR","ORI","PUB_AGENCY_NAME","PUB_AGENCY_UNIT","AGENCY_TYPE_NAME","STATE_ABBR","STATE_NAME","DIVISION_NAME","COUNTY_NAME","REGION_NAME","POPULATION_GROUP_CODE","POPULATION_GROUP_DESC","OFFENSE_SUBCAT_ID","OFFENSE_NAME","OFFENSE_SUBCAT_NAME","ACTUAL_COUNT","UNFOUNDED_COUNT","CLEARED_COUNT","JUVENILE_CLEARED_COUNT"
2020,"GA1061900","Muscogee County Schools","","Other","GA","Georgia","South Atlantic","MUSCOGEE","South","9D","MSA counties under 10,000",81,"Human Trafficking","Commercial Sex Acts",4,0,0,0
2020,"GA1061900","Muscogee County Schools","","Other","GA","Georgia","South Atlantic","MUSCOGEE","South","9D","MSA counties under 10,000",81,"Human Trafficking","Commercial Sex Acts",3,0,0,0
2020,"GA0100100","Nashville","","City","GA","Georgia","South Atlantic","BERRIEN","South","6","Cities from 2,500 thru 9,999",81,"Human Trafficking","Commercial Sex Acts",1,0,0,0
2017,"OK0550600","Oklahoma City","","City","OK","Oklahoma","West South Central","POTTAWATOMIE; CANADIAN; CLEVELAND; OKLAHOMA","South","1B","Cities from 500,000 thru 999,999",81,"Human Trafficking","Commercial Sex Acts",1,0,1,0
2017,"MO0951000","Bridgeton","","City","MO","Missouri","West North Central","ST LOUIS","Midwest","5","Cities from 10,000 thru 24,999",81,"Human Trafficking","Commercial Sex Acts",1,0,1,0
2019,"WI0450400","Fox Valley Metro","","City","WI","Wisconsin","East North Central","OUTAGAMIE","Midwest","5","Cities from 10,000 thru 24,999",81,"Human Trafficking","Commercial Sex Acts",1,0,1,0
2018,"CO0010000","Adams","","County","CO","Colorado","Mountain","ADAMS","West","9A","MSA counties 100,000 or over",81,"Human Trafficking","Commercial Sex Acts",1,0,1,0
2017,"OH0020100","Bluffton","","City","OH","Ohio","East North Central","HANCOCK; ALLEN","Midwest","6","Cities from 2,500 thru 9,999",81,"Human Trafficking","Commercial Sex Acts",1,0,0,0
2016,"TX0920000","Gregg","","County","TX","Texas","West South Central","GREGG","South","9C","MSA counties from 10,000 thru 24,999",81,"Human Trafficking","Commercial Sex Acts",1,0,0,0
2016,"TX1010000","Harris","","County","TX","Texas","West South Central","HARRIS","South","9A","MSA counties 100,000 or over",81,"Human Trafficking","Commercial Sex Acts",1,0,0,0
2016,"TX1370000","Kleberg","","County","TX","Texas","West South Central","KLEBERG","South","8D","Non-MSA counties under 10,000",82,"Human Trafficking","Involuntary Servitude",4,0,0,0
2016,"TX1551200","Waco","","City","TX","Texas","West South Central","MCLENNAN","South","2","Cities from 100,000 thru 249,999",81,"Human Trafficking","Commercial Sex Acts",1,0,1,0
2017,"AZ0071700","Mesa","","City","AZ","Arizona","Mountain","MARICOPA","West","1C","Cities from 250,000 thru 499,999",81,"Human Trafficking","Commercial Sex Acts",2,0,0,0
2017,"AZ0070500","Chandler","","City","AZ","Arizona","Mountain","MARICOPA","West","2","Cities from 100,000 thru 249,999",81,"Human Trafficking","Commercial Sex Acts",1,0,1,0
2017,"MA0030700","Fairhaven","","City","MA","Massachusetts","New England","BRISTOL","Northeast","5","Cities from 10,000 thru 24,999",82,"Human Trafficking","Involuntary Servitude",3,0,0,0
2016,"TX2201200","Fort Worth","","City","TX","Texas","West South Central","PARKER; DENTON; TARRANT","South","1B","Cities from 500,000 thru 999,999",81,"Human Trafficking","Commercial Sex Acts",1,0,0,0
2016,"TX2201200","Fort Worth","","City","TX","Texas","West South Central","PARKER; DENTON; TARRANT","South","1B","Cities from 500,000 thru 999,999",82,"Human Trafficking","Involuntary Servitude",2,0,0,0
2016,"TX2270100","Austin","","City","TX","Texas","West South Central","WILLIAMSON; TRAVIS","South","1B","Cities from 500,000 thru 999,999",81,"Human Trafficking","Commercial Sex Acts",1,0,0,0
2016,"TX2270100","Austin","","City","TX","Texas","West South Central","WILLIAMSON; TRAVIS","South","1B","Cities from 500,000 thru 999,999",82,"Human Trafficking","Involuntary Servitude",2,0,0,0
2017,"TX2201200","Fort Worth","","City","TX","Texas","West South Central","PARKER; DENTON; TARRANT","South","1B","Cities from 500,000 thru 999,999",82,"Human Trafficking","Involuntary Servitude",3,0,1,0
2020,"NV0120000","Nye","","County","NV","Nevada","Mountain","NYE","West","8B","Non-MSA counties from 25,000 thru 99,999",81,"Human Trafficking","Commercial Sex Acts",1,0,0,0
2020,"NV0160100","Reno","","City","NV","Nevada","Mountain","WASHOE","West","1C","Cities from 250,000 thru 499,999",81,"Human Trafficking","Commercial Sex Acts",4,0,2,1
2020,"NV0160100","Reno","","City","NV","Nevada","Mountain","WASHOE","West","1C","Cities from 250,000 thru 499,999",81,"Human Trafficking","Commercial Sex Acts",3,0,3,0
2020,"NV0160100","Reno","","City","NV","Nevada","Mountain","WASHOE","West","1C","Cities from 250,000 thru 499,999",81,"Human Trafficking","Commercial Sex Acts",2,0,3,0
2020,"NV0160100","Reno","","City","NV","Nevada","Mountain","WASHOE","West","1C","Cities from 250,000 thru 499,999",81,"Human Trafficking","Commercial Sex Acts",6,0,0,0
2020,"CT0001500","Bridgeport","","City","CT","Connecticut","New England","FAIRFIELD","Northeast","2","Cities from 100,000 thru 249,999",81,"Human Trafficking","Commercial Sex Acts",1,0,0,0
2018,"MI3803800","State Police:","Jackson County","State Police","MI","Michigan","East North Central","JACKSON","Midwest","9D","MSA counties under 10,000",81,"Human Trafficking","Commercial Sex Acts",2,0,0,0
2019,"MI3803800","State Police:","Jackson County","State Police","MI","Michigan","East North Central","JACKSON","Midwest","9D","MSA counties under 10,000",82,"Human Trafficking","Involuntary Servitude",1,0,0,0
2020,"MI3803800","State Police:","Jackson County","State Police","MI","Michigan","East North Central","JACKSON","Midwest","9D","MSA counties under 10,000",81,"Human Trafficking","Commercial Sex Acts",1,0,0,0
2015,"VA0430100","Henrico County Police Department","","County","VA","Virginia","South Atlantic","HENRICO","South","9A","MSA counties 100,000 or over",81,"Human Trafficking","Commercial Sex Acts",1,0,1,0
2016,"VA0430100","Henrico County Police Department","","County","VA","Virginia","South Atlantic","HENRICO","South","9A","MSA counties 100,000 or over",81,"Human Trafficking","Commercial Sex Acts",5,0,5,0
2020,"VA0430100","Henrico County Police Department","","County","VA","Virginia","South Atlantic","HENRICO","South","9A","MSA counties 100,000 or over",81,"Human Trafficking","Commercial Sex Acts",1,0,0,0
2020,"SD0490200","Sioux Falls","","City","SD","South Dakota","West North Central","LINCOLN; MINNEHAHA","Midwest","2","Cities from 100,000 thru 249,999",81,"Human Trafficking","Commercial Sex Acts",1,0,0,0
2020,"SD0660100","Yankton","","City","SD","South Dakota","West North Central","YANKTON","Midwest","5","Cities from 10,000 thru 24,999",81,"Human Trafficking","Commercial Sex Acts",1,0,0,0
2020,"TX2200000","Tarrant","","County","TX","Texas","West South Central","TARRANT","South","9B","MSA counties from 25,000 thru 99,999",81,"Human Trafficking","Commercial Sex Acts",1,0,0,0
2020,"TX2200000","Tarrant","","County","TX","Texas","West South Central","TARRANT","South","9B","MSA counties from 25,000 thru 99,999",81,"Human Trafficking","Commercial Sex Acts",1,0,0,0
2018,"TX2201200","Fort Worth","","City","TX","Texas","West South Central","PARKER; DENTON; TARRANT","South","1B","Cities from 500,000 thru 999,999",81,"Human Trafficking","Commercial Sex Acts",4,0,0,0
2018,"TX2201200","Fort Worth","","City","TX","Texas","West South Central","PARKER; DENTON; TARRANT","South","1B","Cities from 500,000 thru 999,999",82,"Human Trafficking","Involuntary Servitude",1,0,0,0
2018,"TX2201200","Fort Worth","","City","TX","Texas","West South Central","PARKER; DENTON; TARRANT","South","1B","Cities from 500,000 thru 999,999",81,"Human Trafficking","Commercial Sex Acts",1,0,0,0
2019,"TX2201200","Fort Worth","","City","TX","Texas","West South Central","PARKER; DENTON; TARRANT","South","1B","Cities from 500,000 thru 999,999",81,"Human Trafficking","Commercial Sex Acts",3,0,0,0
2019,"TX2201200","Fort Worth","","City","TX","Texas","West South Central","PARKER; DENTON; TARRANT","South","1B","Cities from 500,000 thru 999,999",82,"Human Trafficking","Involuntary Servitude",1,0,0,0
2019,"TX2201200","Fort Worth","","City","TX","Texas","West South Central","PARKER; DENTON; TARRANT","South","1B","Cities from 500,000 thru 999,999",81,"Human Trafficking","Commercial Sex Acts",1,0,0,0
2019,"TX2201200","Fort Worth","","City","TX","Texas","West South Central","PARKER; DENTON; TARRANT","South","1B","Cities from 500,000 thru 999,999",81,"Human Trafficking","Commercial Sex Acts",2,0,0,0
2019,"TX2201200","Fort Worth","","City","TX","Texas","West South Central","PARKER; DENTON; TARRANT","South","1B","Cities from 500,000 thru 999,999",81,"Human Trafficking","Commercial Sex Acts",1,0,0,0
2019,"TX2201200","Fort Worth","","City","TX","Texas","West South Central","PARKER; DENTON; TARRANT","South","1B","Cities from 500,000 thru 999,999",81,"Human Trafficking","Commercial Sex Acts",2,0,1,0
2019,"TX2201200","Fort Worth","","City","TX","Texas","West South Central","PARKER; DENTON; TARRANT","South","1B","Cities from 500,000 thru 999,999",81,"Human Trafficking","Commercial Sex Acts",1,0,0,0
2019,"TX2201200","Fort Worth","","City","TX","Texas","West South Central","PARKER; DENTON; TARRANT","South","1B","Cities from 500,000 thru 999,999",81,"Human Trafficking","Commercial Sex Acts",2,0,1,0
2020,"TX2460500","Round Rock","","City","TX","Texas","West South Central","TRAVIS; WILLIAMSON","South","2","Cities from 100,000 thru 249,999",81,"Human Trafficking","Commercial Sex Acts",1,0,0,0
2016,"OR0260200","Portland","","City","OR","Oregon","Pacific","CLACKAMAS; WASHINGTON; MULTNOMAH","West","1B","Cities from 500,000 thru 999,999",81,"Human Trafficking","Commercial Sex Acts",1,0,0,0
2016,"OR0260200","Portland","","City","OR","Oregon","Pacific","CLACKAMAS; WASHINGTON; MULTNOMAH","West","1B","Cities from 500,000 thru 999,999",82,"Human Trafficking","Involuntary Servitude",1,0,0,0
2016,"OR0260200","Portland","","City","OR","Oregon","Pacific","CLACKAMAS; WASHINGTON; MULTNOMAH","West","1B","Cities from 500,000 thru 999,999",81,"Human Trafficking","Commercial Sex Acts",3,0,0,0
2016,"OR0260200","Portland","","City","OR","Oregon","Pacific","CLACKAMAS; WASHINGTON; MULTNOMAH","West","1B","Cities from 500,000 thru 999,999",81,"Human Trafficking","Commercial Sex Acts",1,0,0,0
2016,"OR0260200","Portland","","City","OR","Oregon","Pacific","CLACKAMAS; WASHINGTON; MULTNOMAH","West","1B","Cities from 500,000 thru 999,999",81,"Human Trafficking","Commercial Sex Acts",1,0,0,0
2016,"OR0260200","Portland","","City","OR","Oregon","Pacific","CLACKAMAS; WASHINGTON; MULTNOMAH","West","1B","Cities from 500,000 thru 999,999",81,"Human Trafficking","Commercial Sex Acts",1,0,0,0
2017,"OR0260200","Portland","","City","OR","Oregon","Pacific","CLACKAMAS; WASHINGTON; MULTNOMAH","West","1B","Cities from 500,000 thru 999,999",81,"Human Trafficking","Commercial Sex Acts",3,0,0,0
2017,"OR0260200","Portland","","City","OR","Oregon","Pacific","CLACKAMAS; WASHINGTON; MULTNOMAH","West","1B","Cities from 500,000 thru 999,999",81,"Human Trafficking","Commercial Sex Acts",2,0,1,0
2017,"OR0260200","Portland","","City","OR","Oregon","Pacific","CLACKAMAS; WASHINGTON; MULTNOMAH","West","1B","Cities from 500,000 thru 999,999",81,"Human Trafficking","Commercial Sex Acts",2,0,1,0
2017,"OR0260200","Portland","","City","OR","Oregon","Pacific","CLACKAMAS; WASHINGTON; MULTNOMAH","West","1B","Cities from 500,000 thru 999,999",81,"Human Trafficking","Commercial Sex Acts",5,0,1,0
2020,"NC0830100","Laurinburg","","City","NC","North Carolina","South Atlantic","SCOTLAND","South","5","Cities from 10,000 thru 24,999",82,"Human Trafficking","Involuntary Servitude",1,0,1,0
2018,"KYKSP3200","State Police:","West Drug Enforcement Branch","State Police","KY","Kentucky","East South Central","","South","8E","Non-MSA State Police",81,"Human Trafficking","Commercial Sex Acts",1,0,1,0
2018,"KYKSP3200","State Police:","West Drug Enforcement Branch","State Police","KY","Kentucky","East South Central","","South","8E","Non-MSA State Police",82,"Human Trafficking","Involuntary Servitude",1,0,0,0
2018,"KYKSP3200","State Police:","West Drug Enforcement Branch","State Police","KY","Kentucky","East South Central","","South","8E","Non-MSA State Police",81,"Human Trafficking","Commercial Sex Acts",1,0,0,0
2018,"TX2210100","Abilene","","City","TX","Texas","West South Central","JONES; TAYLOR","South","2","Cities from 100,000 thru 249,999",81,"Human Trafficking","Commercial Sex Acts",3,0,0,0
2018,"TX2210100","Abilene","","City","TX","Texas","West South Central","JONES; TAYLOR","South","2","Cities from 100,000 thru 249,999",81,"Human Trafficking","Commercial Sex Acts",1,0,1,0
2018,"TX2210100","Abilene","","City","TX","Texas","West South Central","JONES; TAYLOR","South","2","Cities from 100,000 thru 249,999",81,"Human Trafficking","Commercial Sex Acts",1,0,0,0
2019,"TX2210100","Abilene","","City","TX","Texas","West South Central","JONES; TAYLOR","South","2","Cities from 100,000 thru 249,999",81,"Human Trafficking","Commercial Sex Acts",6,0,0,0
2019,"TX2210100","Abilene","","City","TX","Texas","West South Central","JONES; TAYLOR","South","2","Cities from 100,000 thru 249,999",81,"Human Trafficking","Commercial Sex Acts",1,0,0,0
2019,"AK0010100","Anchorage","","City","AK","Alaska","Pacific","ANCHORAGE","West","1C","Cities from 250,000 thru 499,999",81,"Human Trafficking","Commercial Sex Acts",1,0,0,0
2019,"MN0270000","Hennepin","","County","MN","Minnesota","West North Central","HENNEPIN","Midwest","9D","MSA counties under 10,000",81,"Human Trafficking","Commercial Sex Acts",3,0,1,0
2019,"MN0730400","St. Cloud","","City","MN","Minnesota","West North Central","BENTON; SHERBURNE; STEARNS","Midwest","3","Cities from 50,000 thru 99,999",81,"Human Trafficking","Commercial Sex Acts",4,0,1,0
2019,"MN0730400","St. Cloud","","City","MN","Minnesota","West North Central","BENTON; SHERBURNE; STEARNS","Midwest","3","Cities from 50,000 thru 99,999",81,"Human Trafficking","Commercial Sex Acts",2,0,1,0
2019,"MN0300000","Isanti","","County","MN","Minnesota","West North Central","ISANTI","Midwest","9C","MSA counties from 10,000 thru 24,999",81,"Human Trafficking","Commercial Sex Acts",1,0,1,0
2019,"MN0730400","St. Cloud","","City","MN","Minnesota","West North Central","BENTON; SHERBURNE; STEARNS","Midwest","3","Cities from 50,000 thru 99,999",81,"Human Trafficking","Commercial Sex Acts",1,0,6,0
2019,"MN0730400","St. Cloud","","City","MN","Minnesota","West North Central","BENTON; SHERBURNE; STEARNS","Midwest","3","Cities from 50,000 thru 99,999",81,"Human Trafficking","Commercial Sex Acts",3,0,2,0
2017,"KY1140100","Bowling Green","","City","KY","Kentucky","East South Central","WARREN","South","3","Cities from 50,000 thru 99,999",81,"Human Trafficking","Commercial Sex Acts",1,0,0,0
2019,"MO0100200","Columbia","","City","MO","Missouri","West North Central","BOONE","Midwest","2","Cities from 100,000 thru 249,999",81,"Human Trafficking","Commercial Sex Acts",2,0,0,0
2016,"TN0530100","Lenoir City","","City","TN","Tennessee","East South Central","LOUDON","South","6","Cities from 2,500 thru 9,999",81,"Human Trafficking","Commercial Sex Acts",1,0,0,0
2020,"MI4104100","State Police:","Kent County","State Police","MI","Michigan","East North Central","KENT","Midwest","9D","MSA counties under 10,000",81,"Human Trafficking","Commercial Sex Acts",1,0,0,0
2017,"MOKPD0000","Kansas City","","City","MO","Missouri","West North Central","CASS; PLATTE; CLAY; JACKSON","Midwest","1C","Cities from 250,000 thru 499,999",81,"Human Trafficking","Commercial Sex Acts",1,0,0,0
2018,"MOKPD0000","Kansas City","","City","MO","Missouri","West North Central","CASS; PLATTE; CLAY; JACKSON","Midwest","1C","Cities from 250,000 thru 499,999",81,"Human Trafficking","Commercial Sex Acts",1,0,0,0
2020,"VA0740100","Prince George County Police Department","","County","VA","Virginia","South Atlantic","PRINCE GEORGE","South","9B","MSA counties from 25,000 thru 99,999",81,"Human Trafficking","Commercial Sex Acts",1,0,0,0
2020,"OK0720500","Tulsa","","City","OK","Oklahoma","West South Central","WAGONER; OSAGE; TULSA","South","1C","Cities from 250,000 thru 499,999",81,"Human Trafficking","Commercial Sex Acts",1,0,1,0
2019,"DE0030800","Seaford","","City","DE","Delaware","South Atlantic","SUSSEX","South","6","Cities from 2,500 thru 9,999",81,"Human Trafficking","Commercial Sex Acts",1,0,0,0
2020,"SC0421000","Landrum","","City","SC","South Carolina","South Atlantic","SPARTANBURG","South","6","Cities from 2,500 thru 9,999",81,"Human Trafficking","Commercial Sex Acts",1,0,0,0
2019,"CODPD0000","Denver","","City","CO","Colorado","Mountain","DENVER","West","1B","Cities from 500,000 thru 999,999",81,"Human Trafficking","Commercial Sex Acts",2,0,0,0
2019,"CODPD0000","Denver","","City","CO","Colorado","Mountain","DENVER","West","1B","Cities from 500,000 thru 999,999",81,"Human Trafficking","Commercial Sex Acts",3,0,1,0
2019,"CODPD0000","Denver","","City","CO","Colorado","Mountain","DENVER","West","1B","Cities from 500,000 thru 999,999",81,"Human Trafficking","Commercial Sex Acts",1,0,0,0
2019,"CODPD0000","Denver","","City","CO","Colorado","Mountain","DENVER","West","1B","Cities from 500,000 thru 999,999",81,"Human Trafficking","Commercial Sex Acts",1,0,0,0
2020,"CODPD0000","Denver","","City","CO","Colorado","Mountain","DENVER","West","1B","Cities from 500,000 thru 999,999",81,"Human Trafficking","Commercial Sex Acts",1,0,0,0
2020,"CODPD0000","Denver","","City","CO","Colorado","Mountain","DENVER","West","1B","Cities from 500,000 thru 999,999",81,"Human Trafficking","Commercial Sex Acts",1,0,0,0
2020,"DE0020300","New Castle County Police Department","","County","DE","Delaware","South Atlantic","NEW CASTLE","South","9A","MSA counties 100,000 or over",81,"Human Trafficking","Commercial Sex Acts",1,0,0,0
2019,"MA0071800","Springfield","","City","MA","Massachusetts","New England","HAMPDEN","Northeast","2","Cities from 100,000 thru 249,999",81,"Human Trafficking","Commercial Sex Acts",1,0,1,0
2019,"MA0011500","Yarmouth","","City","MA","Massachusetts","New England","BARNSTABLE","Northeast","5","Cities from 10,000 thru 24,999",82,"Human Trafficking","Involuntary Servitude",1,0,0,0
2020,"GA0920000","Lowndes","","County","GA","Georgia","South Atlantic","LOWNDES","South","9B","MSA counties from 25,000 thru 99,999",82,"Human Trafficking","Involuntary Servitude",1,0,0,0
2020,"SC0230000","Greenville","","County","SC","South Carolina","South Atlantic","GREENVILLE","South","9A","MSA counties 100,000 or over",81,"Human Trafficking","Commercial Sex Acts",1,0,0,0
2020,"SC0230000","Greenville","","County","SC","South Carolina","South Atlantic","GREENVILLE","South","9A","MSA counties 100,000 or over",81,"Human Trafficking","Commercial Sex Acts",1,0,1,0
2020,"SC0230000","Greenville","","County","SC","South Carolina","South Atlantic","GREENVILLE","South","9A","MSA counties 100,000 or over",81,"Human Trafficking","Commercial Sex Acts",1,0,0,0
2020,"GA0110000","Bibb","","County","GA","Georgia","South Atlantic","BIBB","South","9A","MSA counties 100,000 or over",81,"Human Trafficking","Commercial Sex Acts",3,0,0,0
2020,"GA0110000","Bibb","","County","GA","Georgia","South Atlantic","BIBB","South","9A","MSA counties 100,000 or over",82,"Human Trafficking","Involuntary Servitude",3,0,0,0
2019,"GA0280000","Cherokee","","County","GA","Georgia","South Atlantic","CHEROKEE","South","9A","MSA counties 100,000 or over",81,"Human Trafficking","Commercial Sex Acts",1,0,0,0
2020,"GA1360100","Thomasville","","City","GA","Georgia","South Atlantic","THOMAS","South","5","Cities from 10,000 thru 24,999",82,"Human Trafficking","Involuntary Servitude",1,0,1,0
2019,"WA0320400","Spokane","","City","WA","Washington","Pacific","SPOKANE","West","2","Cities from 100,000 thru 249,999",81,"Human Trafficking","Commercial Sex Acts",1,0,1,0
2019,"GA0330300","Marietta","","City","GA","Georgia","South Atlantic","COBB","South","3","Cities from 50,000 thru 99,999",82,"Human Trafficking","Involuntary Servitude",1,0,0,0
2019,"GA0330300","Marietta","","City","GA","Georgia","South Atlantic","COBB","South","3","Cities from 50,000 thru 99,999",81,"Human Trafficking","Commercial Sex Acts",2,0,1,1
2019,"GA0330300","Marietta","","City","GA","Georgia","South Atlantic","COBB","South","3","Cities from 50,000 thru 99,999",81,"Human Trafficking","Commercial Sex Acts",1,0,0,0
2020,"GA0330300","Marietta","","City","GA","Georgia","South Atlantic","COBB","South","3","Cities from 50,000 thru 99,999",81,"Human Trafficking","Commercial Sex Acts",1,0,1,0
2020,"GA0330300","Marietta","","City","GA","Georgia","South Atlantic","COBB","South","3","Cities from 50,000 thru 99,999",81,"Human Trafficking","Commercial Sex Acts",1,0,0,0
2020,"NC0510200","Benson","","City","NC","North Carolina","South Atlantic","JOHNSTON","South","6","Cities from 2,500 thru 9,999",82,"Human Trafficking","Involuntary Servitude",1,0,0,0
2020,"GA0605400","Atlanta Public Schools","","Other","GA","Georgia","South Atlantic","FULTON","South","7","Cities under 2,500",81,"Human Trafficking","Commercial Sex Acts",1,0,0,0
2019,"GA0290100","Athens-Clarke County","","City","GA","Georgia","South Atlantic","CLARKE","South","2","Cities from 100,000 thru 249,999",82,"Human Trafficking","Involuntary Servitude",1,0,0,0
2020,"GA0290100","Athens-Clarke County","","City","GA","Georgia","South Atlantic","CLARKE","South","2","Cities from 100,000 thru 249,999",81,"Human Trafficking","Commercial Sex Acts",1,0,0,0
2018,"SC0230200","Greenville","","City","SC","South Carolina","South Atlantic","GREENVILLE","South","3","Cities from 50,000 thru 99,999",81,"Human Trafficking","Commercial Sex Acts",1,0,1,0
2019,"SC0230200","Greenville","","City","SC","South Carolina","South Atlantic","GREENVILLE","South","3","Cities from 50,000 thru 99,999",81,"Human Trafficking","Commercial Sex Acts",2,0,2,0
2019,"SC0230200","Greenville","","City","SC","South Carolina","South Atlantic","GREENVILLE","South","3","Cities from 50,000 thru 99,999",81,"Human Trafficking","Commercial Sex Acts",1,0,0,0
2018,"SC0460300","Rock Hill","","City","SC","South Carolina","South Atlantic","YORK","South","3","Cities from 50,000 thru 99,999",81,"Human Trafficking","Commercial Sex Acts",1,0,0,0
2019,"CO0300500","Wheat Ridge","","City","CO","Colorado","Mountain","JEFFERSON","West","4","Cities from 25,000 thru 49,999",81,"Human Trafficking","Commercial Sex Acts",1,0,0,0
2019,"GA0380000","Coweta","","County","GA","Georgia","South Atlantic","COWETA","South","9B","MSA counties from 25,000 thru 99,999",81,"Human Trafficking","Commercial Sex Acts",1,0,0,0
2020,"GA0380000","Coweta","","County","GA","Georgia","South Atlantic","COWETA","South","9B","MSA counties from 25,000 thru 99,999",81,"Human Trafficking","Commercial Sex Acts",1,0,1,0
2020,"GA0450000","Dodge","","County","GA","Georgia","South Atlantic","DODGE","South","8C","Non-MSA counties from 10,000 thru 24,999",82,"Human Trafficking","Involuntary Servitude",1,0,0,0
2020,"SC0260000","Horry","","County","SC","South Carolina","South Atlantic","HORRY","South","9D","MSA counties under 10,000",81,"Human Trafficking","Commercial Sex Acts",1,0,0,0
2020,"MD0020200","Anne Arundel County Police Department","","County","MD","Maryland","South Atlantic","ANNE ARUNDEL","South","9A","MSA counties 100,000 or over",81,"Human Trafficking","Commercial Sex Acts",2,0,1,0
2020,"NC0780100","Lumberton","","City","NC","North Carolina","South Atlantic","ROBESON","South","5","Cities from 10,000 thru 24,999",81,"Human Trafficking","Commercial Sex Acts",1,0,0,0
2020,"NH0070000","Merrimack","","County","NH","New Hampshire","New England","MERRIMACK","Northeast","8D","Non-MSA counties under 10,000",82,"Human Trafficking","Involuntary Servitude",1,0,0,0
2020,"NH0070000","Merrimack","","County","NH","New Hampshire","New England","MERRIMACK","Northeast","8D","Non-MSA counties under 10,000",82,"Human Trafficking","Involuntary Servitude",1,0,0,0
2019,"TN0540100","Athens","","City","TN","Tennessee","East South Central","MCMINN","South","5","Cities from 10,000 thru 24,999",81,"Human Trafficking","Commercial Sex Acts",2,0,2,0
